Net generation all fuels (utility-scale) all sectors monthly
https://www.eia.gov/electricity/data/browser/#/topic/0?agg=1,0,2&fuel=g&geo=vvvvvvvvvvvvo&sec=o3g&linechart=ELEC.GEN.ALL-NEW-99.M~ELEC.GEN.ALL-MAT-99.M~ELEC.GEN.ALL-ENC-99.M~ELEC.GEN.ALL-WNC-99.M~ELEC.GEN.ALL-SAT-99.M~ELEC.GEN.ALL-ESC-99.M~ELEC.GEN.ALL-MTN-99.M~ELEC.GEN.ALL-WSC-99.M~ELEC.GEN.ALL-PCN-99.M~ELEC.GEN.ALL-PCC-99.M&columnchart=ELEC.GEN.ALL-NEW-99.M~ELEC.GEN.ALL-MAT-99.M~ELEC.GEN.ALL-ENC-99.M~ELEC.GEN.ALL-WNC-99.M~ELEC.GEN.ALL-SAT-99.M~ELEC.GEN.ALL-ESC-99.M~ELEC.GEN.ALL-MTN-99.M~ELEC.GEN.ALL-WSC-99.M~ELEC.GEN.ALL-PCN-99.M~ELEC.GEN.ALL-PCC-99.M&map=ELEC.GEN.ALL-US-99.M&freq=M&start=200101&end=202107&ctype=linechart&ltype=pin&rtype=s&maptype=0&rse=0&pin=
13:11:59 GMT-0400 (Eastern Daylight Time)
Data source: U.S. Energy Information Administration
Month,New England thousand megawatthours,Middle Atlantic thousand megawatthours,East North Central thousand megawatthours,West North Central thousand megawatthours,South Atlantic thousand megawatthours,East South Central thousand megawatthours,Mountain thousand megawatthours,West South Central thousand megawatthours,Pacific Noncontiguous thousand megawatthours,Pacific Contiguous thousand megawatthours
May 2013,8857.52269,33618.47515,48240.00841,24956.41347,59929.4195,29303.13504,30173.25646,54762.68787,1371.26078,30943.46105
Apr 2013,8433.19747,32580.81087,45772.29788,24333.37865,54244.59686,27729.82586,27560.49157,47482.4906,1338.12403,29857.65452
Mar 2013,9132.29758,36630.8237,51649.56295,27327.93417,59320.37967,32752.97226,29269.40543,49599.3614,1360.05436,28356.04251
Feb 2013,8576.54085,35089.64419,50273.58286,26145.44366,57273.87009,30316.1266,27984.18637,45775.90454,1284.96177,27007.81907
Jan 2013,10218.44425,38004.40285,55458.62916,30117.51221,63669.03582,32351.02879,32280.27937,53332.39944,1471.16561,32064.48042
Dec 2012,9783.06735,35612.95236,52273.07699,29120.62065,60226.44775,31198.30735,31047.10723,52106.927,1734.83526,31531.40722
Nov 2012,9138.79562,31509.69268,48103.81366,25764.68949,56716.10361,29727.29361,28537.38699,46974.10156,1464.86733,28039.10646
Oct 2012,9113.10672,32161.5389,46231.33326,25529.68954,58153.58546,28028.23628,30137.04812,51074.32023,1513.79604,29709.27614
Sep 2012,10040.36889,34347.46624,46687.87233,26705.10151,63244.57737,30385.2108,32006.63266,58022.25281,1374.15922,31771.92084
Aug 2012,12153.46353,41018.52622,57505.35612,30453.86128,73160.33203,37050.01347,36874.37404,69025.72186,1436.84016,37021.26046
Jul 2012,12412.58179,44015.32593,63212.93007,33864.34085,79299.62573,39422.85628,35724.7535,70309.4905,1359.8322,35019.48063
